Well,Wellbore,Core photo title
3512,25/11-22,Core1-1
3513,25/11-22,Core1-2
3514,25/11-22,Core1-3
3515,25/11-22,Core1-4
3516,25/11-22,Core1-5
3517,25/11-22,Core1-6
3518,25/11-22,Core1-7
3519,25/11-22,Core1-8
3520,25/11-22,Core1-9
3521,25/11-22,Core1-10
3522,25/11-22,Core1-11
3523,25/11-22,Core1-12
3524,25/11-22,Core1-13
3525,25/11-22,Core1-14
3526,25/11-22,Core1-15
3527,25/11-22,Core1-16
3528,25/11-22,Core1-17
3529,25/11-22,Core1-18
3530,25/11-22,Core1-19
3531,25/11-22,Core1-20
3532,25/11-22,Core1-21
3533,25/11-22,Core1-22
3534,25/11-22,Core1-23
3535,25/11-22,Core1-24
3536,25/11-22,Core1-25
3537,25/11-22,Core1-26
3538,25/11-22,Core1-27
3539,25/11-22,Core1-28
3540,25/11-22,Core1-29
3541,25/11-22,Core1-30
3542,25/11-22,Core1-31
3543,25/11-22,Core1-32
3544,25/11-22,Core2-1
3545,25/11-22,Core2-2
3546,25/11-22,Core2-3
3547,25/11-22,Core2-4
3548,25/11-22,Core2-5
3549,25/11-22,Core3-1
3550,25/11-22,Core3-2
3551,25/11-22,Core3-3
3552,25/11-22,Core3-4
3553,25/11-22,Core3-5
3554,25/11-22,Core3-6
3555,25/11-22,Core3-7
3556,25/11-22,Core3-8
3557,25/11-22,Core3-9
3558,25/11-22,Core3-10
3559,25/11-22,Core4-1
3560,25/11-22,Core4-2
3561,25/11-22,Core4-3
3562,25/11-22,Core4-4
3563,25/11-22,Core4-5
3564,25/11-22,Core4-6
3565,25/11-22,Core4-7
3566,25/11-22,Core4-8
3567,25/11-22,Core4-9
3568,25/11-22,Core4-10
3569,25/11-22,Core4-11
3570,25/11-22,Core4-12
3571,25/11-22,Core4-13
3572,25/11-22,Core4-14
3573,25/11-22,Cores5-1
9198,33/12-2,Core2-Box1
9199,33/12-2,Core2-Box2
9200,33/12-2,Core2-Box3
9201,33/12-2,Core2-Box4
9202,33/12-2,Core2-Box5
9203,33/12-2,Core2-Box6
9204,33/12-2,Core3-box1
9205,33/12-2,Core3-Box2
21588,7129/10-U-2,High: 30-40
21589,7129/10-U-2,Low: 30-40
